Category,view_name,actual_name
Population,Total Population,pop_dyna_pop
Population,Percentage change in population,pop_dyna_per_pop_chng
Population,Percentage change in population(1981-1991),pop_dyna_1981-1991
Population,Percentage change in population(1991-2001),pop_dyna_1991-2001
Population,Population density (per sq.km),pop_dyna_pop_den
Population,Singulate mean age at marriage,pop_dyna_sin_mean_mdg
Population,Singulate mean age at marriage by sex(male),pop_dyna_sin_mdg_m
Population,Singulate mean age at marriage by sex(female),pop_dyna_sin_mdg_f
Population,Mean age at first marriage,pop_dyna_mn_fst_age
Population,Mean age at first marriage - male,pop_dyna_mn_fst_m
Population,Mean age at first marriage - female,pop_dyna_mn_fst_f
Population,Mean age at child bearing,pop_dyna_mn_age-cb
Population,Crude birth rate,pop_dyna_cbr
Population,Crude death rate,pop_dyna_cdr
Population,Infant mortality rate,pop_dyna_imr
Population,Infant mortality rate - male,pop_dyna_m_imr
Population,Infant mortality rate - female,pop_dyna_f_imr
Population,Under 5 mortality rate,pop_dyna_u5mr
Population,Under 5 mortality rate - male,pop_dyna_m_u5mr
Population,Under 5 mortality rate - female,pop_dyna_f_u5mr
Population,Index of ageing,pop_dyna_ind_agn
Population,Index of ageing - male,pop_dyna_m_idn_agn
Population,Index of ageing - female,pop_dyna_f_idn_agn
Population,Sex ratio at birth,pop_char_sr_birth
Population,Sex ratio,pop_char_sr
Population,Child woman ratio,pop_char_cwr
Population,Total dependency ratio,pop_char_t_dr
Population,Child dependency ratio,pop_char_ch_dr
Population,Child dependency ratio - male,pop_char_m_ch_dr
Population,Child dependency ratio - female,pop_char_f_ch_dr
Population,Aged dependency ratio,pop_char_aged_dr
Population,Percentage of population aged 75 years and above,pop_char_per-pop_75abv
Population,Percentage of population aged 75 years and above - male,pop_char_m_per-pop_75abv
Population,Percentage of population aged 75 years and above female,pop_char_f_per-pop_75abv
Population,Distribution of absentee population,pop_char_dis_abs_pop
Population,Percentage of absentee population,pop_char_per_abs_pop
Population,Percentage of population with disability,pop_char_per_disab_pop
Population,Percentage of population by type of disability(physically),pop_char_per-disab_pop_physically
